TICKER,CIKS
A,0001090872
AAL,0000006201
AAPL,0000320193
ABBV,0001551152
ABNB,0001559720
ABT,0000001800
ACGL,0000947484
ACN,0001467373
ADBE,0000796343
ADI,0000006281
ADM,0000007084
ADP,0000008670
ADSK,0000769397
AEE,0001002910
AEP,0000004904
AES,0000874761
AFL,0000004977
AIG,0000005272
AIZ,0001267238
AJG,0000354190
AKAM,0001086222
ALB,0000915913
ALGN,0001097149
ALL,0000899051
ALLE,0001579241
AMAT,0000006951
AMCR,0001748790
AMD,0000002488
AME,0001037868
AMGN,0000318154
AMP,0000820027
AMT,0001053507
AMZN,0001018724
ANET,0001596532
ANSS,0001013462
AON,0000315293
AOS,0000091142
APA,0001841666
APD,0000002969
APH,0000820313
APTV,0001521332
ARE,0001035443
ATO,0000731802
AVB,0000915912
AVGO,0001730168
AVY,0000008818
AWK,0001410636
AXON,0001069183
AXP,0000004962
AZO,0000866787
BA,0000012927
BAC,0000070858
BALL,0000009389
BAX,0000010456
BBWI,0000701985
BBY,0000764478
BDX,0000010795
BEN,0000038777
BG,0001996862
BIIB,0000875045
BIO,0000012208
BK,0001390777
BKNG,0001075531
BKR,0001701605
BLDR,0001316835
BLK,0001364742
BMY,0000014272
BR,0001383312
BRO,0000079282
BSX,0000885725
BWA,0000908255
BX,0001393818
BXP,0001037540
C,0000831001
CAG,0000023217
CAH,0000721371
CARR,0001783180
CAT,0000018230
CB,0000896159
CBOE,0001374310
CBRE,0001138118
CCI,0001051470
CCL,0000815097
CDNS,0000813672
CDW,0001402057
CE,0001306830
CEG,0001868275
CF,0001324404
CFG,0000759944
CHD,0000313927
CHRW,0001043277
CHTR,0001091667
CI,0001739940
CINF,0000020286
CL,0000021665
CLX,0000021076
CMA,0000028412
CMCSA,0001166691
CME,0001156375
CMG,0001058090
CMI,0000026172
CMS,0000811156
CNC,0001071739
CNP,0001130310
COF,0000927628
COO,0000711404
COP,0001163165
COR,0001140859
COST,0000909832
CPB,0000016732
CPRT,0000900075
CPT,0000906345
CRL,0001100682
CRM,0001108524
CSCO,0000858877
CSGP,0001057352
CSX,0000277948
CTAS,0000723254
CTLT,0001596783
CTRA,0000858470
CTSH,0001058290
CTVA,0001755672
CVS,0000064803
CVX,0000093410
CZR,0001590895
D,0000715957
DAL,0000027904
DAY,0001725057
DD,0001666700
DE,0000315189
DFS,0001393612
DG,0000029534
DGX,0001022079
DHI,0000882184
DHR,0000313616
DIS,0001744489
DLR,0001297996
DLTR,0000935703
DOV,0000029905
DOW,0001751788
DPZ,0001286681
DRI,0000940944
DTE,0000936340
DUK,0001326160
DVA,0000927066
DVN,0001090012
DXCM,0001093557
EA,0000712515
EBAY,0001065088
ECL,0000031462
ED,0001047862
EFX,0000033185
EG,0001095073
EIX,0000827052
EL,0001001250
ELV,0001156039
EMN,0000915389
EMR,0000032604
ENPH,0001463101
EOG,0000821189
EPAM,0001352010
EQIX,0001101239
EQR,0000906107
EQT,0000033213
ES,0000072741
ESS,0000920522
ETN,0001551182
ETR,0000065984
ETSY,0001370637
EVRG,0001711269
EW,0001099800
EXC,0001109357
EXPD,0000746515
EXPE,0001324424
EXR,0001289490
F,0000037996
FANG,0001539838
FAST,0000815556
FCX,0000831259
FDS,0001013237
FDX,0001048911
FE,0001031296
FFIV,0001048695
FI,0000798354
FICO,0000814547
FIS,0001136893
FITB,0000035527
FLT,0001175454
FMC,0000037785
FOX,0001754301
FOXA,0001754301
FRT,0000034903
FSLR,0001274494
FTNT,0001262039
FTV,0001659166
GD,0000040533
GE,0000040545
GEHC,0001932393
GEN,0000849399
GILD,0000882095
GIS,0000040704
GL,0000320335
GLW,0000024741
GM,0001467858
GNRC,0001474735
GOOG,0001652044
GOOGL,0001652044
GPC,0000040987
GPN,0001123360
GRMN,0001121788
GS,0000886982
GWW,0000277135
HAL,0000045012
HAS,0000046080
HBAN,0000049196
HCA,0000860730
HD,0000354950
HES,0000004447
HIG,0000874766
HII,0001501585
HLT,0001585689
HOLX,0000859737
HON,0000773840
HPE,0001645590
HPQ,0000047217
HRL,0000048465
HSIC,0001000228
HST,0001070750
HSY,0000047111
HUBB,0000048898
HUM,0000049071
HWM,0000004281
IBM,0000051143
ICE,0001571949
IDXX,0000874716
IEX,0000832101
IFF,0000051253
ILMN,0001110803
INCY,0000879169
INTC,0000050863
INTU,0000896878
INVH,0001687229
IP,0000051434
IPG,0000051644
IQV,0001478242
IR,0001699150
IRM,0001020569
ISRG,0001035267
IT,0000749251
ITW,0000049826
IVZ,0000914208
J,0000052988
JBHT,0000728535
JBL,0000898293
JCI,0000833444
JKHY,0000779152
JNJ,0000200406
JNPR,0001043604
JPM,0000019617
K,0000055067
KDP,0001418135
KEY,0000091576
KEYS,0001601046
KHC,0001637459
KIM,0000879101
KLAC,0000319201
KMB,0000055785
KMI,0001506307
KMX,0001170010
KO,0000021344
KR,0000056873
KVUE,0001944048
L,0000060086
LDOS,0001336920
LEN,0000920760
LH,0000920148
LHX,0000202058
LIN,0001707925
LKQ,0001065696
LLY,0000059478
LMT,0000936468
LNT,0000352541
LOW,0000060667
LRCX,0000707549
LULU,0001397187
LUV,0000092380
LVS,0001300514
LW,0001679273
LYB,0001489393
LYV,0001335258
MA,0001141391
MAA,0000912595
MAR,0001048286
MAS,0000062996
MCD,0000063908
MCHP,0000827054
MCK,0000927653
MCO,0001059556
MDLZ,0001103982
MDT,0001613103
MET,0001099219
META,0001326801
MGM,0000789570
MHK,0000851968
MKC,0000063754
MKTX,0001278021
MLM,0000916076
MMC,0000062709
MMM,0000066740
MNST,0000865752
MO,0000764180
MOH,0001179929
MOS,0001285785
MPC,0001510295
MPWR,0001280452
MRK,0000310158
MRNA,0001682852
MRO,0000101778
MS,0000895421
MSCI,0001408198
MSFT,0000789019
MSI,0000068505
MTB,0000036270
MTCH,0000891103
MTD,0001037646
MU,0000723125
NCLH,0001513761
NDAQ,0001120193
NDSN,0000072331
NEE,0000753308
NEM,0001164727
NFLX,0001065280
NI,0001111711
NKE,0000320187
NOC,0001133421
NOW,0001373715
NRG,0001013871
NSC,0000702165
NTAP,0001002047
NTRS,0000073124
NUE,0000073309
NVDA,0001045810
NVR,0000906163
NWS,0001564708
NWSA,0001564708
NXPI,0001413447
O,0000726728
ODFL,0000878927
OKE,0001039684
OMC,0000029989
ON,0001097864
ORCL,0001341439
ORLY,0000898173
OTIS,0001781335
OXY,0000797468
PANW,0001327567
PARA,0000813828
PAYC,0001590955
PAYX,0000723531
PCAR,0000075362
PCG,0001004980
PEAK,0000765880
PEG,0000788784
PEP,0000077476
PFE,0000078003
PFG,0001126328
PG,0000080424
PGR,0000080661
PH,0000076334
PHM,0000822416
PKG,0000075677
PLD,0001045609
PM,0001413329
PNC,0000713676
PNR,0000077360
PNW,0000764622
PODD,0001145197
POOL,0000945841
PPG,0000079879
PPL,0000922224
PRU,0001137774
PSA,0001393311
PSX,0001534701
PTC,0000857005
PWR,0001050915
PXD,0001038357
PYPL,0001633917
QCOM,0000804328
QRVO,0001604778
RCL,0000884887
REG,0000910606
REGN,0000872589
RF,0001281761
RHI,0000315213
RJF,0000720005
RL,0001037038
RMD,0000943819
